province_id,province_name,area_1_level_id,area_1_level_name,area_2_level_id,area_2_level_name
0,其他,0,其他,0,其他
1,北京,1,北部,1,京津冀
2,天津,1,北部,1,京津冀
3,河北,1,北部,1,京津冀
4,山西,2,西部,2,西北
5,内蒙古,2,西部,2,西北
6,辽宁,1,北部,3,东北
7,吉林,1,北部,3,东北
8,黑龙江,1,北部,3,东北
9,上海,3,东部,4,上海
10,江苏,3,东部,5,苏皖
11,浙江,3,东部,6,浙江
12,安徽,3,东部,5,苏皖
13,福建,4,南部,7,华南
14,江西,4,南部,8,中南
15,山东,1,北部,9,鲁豫
16,河南,1,北部,9,鲁豫
17,湖北,4,南部,8,中南
18,湖南,4,南部,8,中南
19,广东,4,南部,7,华南
20,广西,4,南部,7,华南
21,海南,4,南部,10,东南
22,重庆,2,西部,11,渝贵
23,四川,2,西部,12,西南
24,贵州,2,西部,11,渝贵
25,云南,2,西部,12,西南
26,西藏,2,西部,12,西南
27,陕西,2,西部,2,西北
28,甘肃,2,西部,2,西北
29,青海,2,西部,2,西北
30,宁夏,2,西部,2,西北
31,新疆,2,西部,2,西北
32,香港,4,南部,10,东南
33,澳门,4,南部,10,东南
34,台湾,4,南部,10,东南
